[E 171127 16:11:23 DataFether:83] timed out
[E 171127 16:11:33 DataFether:83] timed out
[I 171127 16:11:40 DataFether:80] all stock basics updated, total size=3455
[I 171127 16:37:06 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000933&start=20170921&end=20171127&stat=1&order=D&period=d,size=3890, try=0
[I 171127 16:37:06 DataFether:171] 000933,20170921,42 history data download ok.
[I 171127 16:37:07 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000996&start=20170921&end=20171127&stat=1&order=D&period=d,size=3912, try=0
[I 171127 16:37:07 DataFether:171] 000996,20170921,42 history data download ok.
[I 171127 16:37:08 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600621&start=20170921&end=20171127&stat=1&order=D&period=d,size=3897, try=0
[I 171127 16:37:08 DataFether:171] 600621,20170921,42 history data download ok.
[I 171127 16:37:08 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600215&start=20170921&end=20171127&stat=1&order=D&period=d,size=3880, try=0
[I 171127 16:37:08 DataFether:171] 600215,20170921,42 history data download ok.
[I 171127 16:37:09 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002218&start=20170921&end=20171127&stat=1&order=D&period=d,size=3740, try=0
[I 171127 16:37:09 DataFether:171] 002218,20170921,42 history data download ok.
[I 171127 16:37:10 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002285&start=20170921&end=20171127&stat=1&order=D&period=d,size=3519, try=0
[I 171127 16:37:10 DataFether:171] 002285,20170921,37 history data download ok.
[I 171127 16:37:11 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600111&start=20170921&end=20171127&stat=1&order=D&period=d,size=3989, try=0
[I 171127 16:37:11 DataFether:171] 600111,20170921,42 history data download ok.
[I 171127 16:37:11 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_603160&start=20170921&end=20171127&stat=1&order=D&period=d,size=4025, try=0
[I 171127 16:37:12 DataFether:171] 603160,20170921,42 history data download ok.
[I 171127 16:37:13 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600392&start=20170921&end=20171127&stat=1&order=D&period=d,size=3964, try=0
[I 171127 16:37:13 DataFether:171] 600392,20170921,42 history data download ok.
[I 171127 16:37:14 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600740&start=20170921&end=20171127&stat=1&order=D&period=d,size=3837, try=0
[I 171127 16:37:14 DataFether:171] 600740,20170921,42 history data download ok.
[I 171127 16:37:14 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600538&start=20170921&end=20171127&stat=1&order=D&period=d,size=3712, try=0
[I 171127 16:37:14 DataFether:171] 600538,20170921,42 history data download ok.
[I 171127 16:37:15 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002153&start=20170921&end=20171127&stat=1&order=D&period=d,size=3018, try=0
[I 171127 16:37:15 DataFether:171] 002153,20170921,32 history data download ok.
[I 171127 16:37:16 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_603002&start=20170921&end=20171127&stat=1&order=D&period=d,size=3716, try=0
[I 171127 16:37:16 DataFether:171] 603002,20170921,42 history data download ok.
[I 171127 16:37:18 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300503&start=20170921&end=20171127&stat=1&order=D&period=d,size=3882, try=0
[I 171127 16:37:18 DataFether:171] 300503,20170921,42 history data download ok.
[I 171127 16:37:20 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_603520&start=20170921&end=20171127&stat=1&order=D&period=d,size=3779, try=0
[I 171127 16:37:20 DataFether:171] 603520,20170921,41 history data download ok.
[I 171127 16:37:21 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300093&start=20170921&end=20171127&stat=1&order=D&period=d,size=3877, try=0
[I 171127 16:37:21 DataFether:171] 300093,20170921,42 history data download ok.
[I 171127 16:37:22 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300108&start=20170921&end=20171127&stat=1&order=D&period=d,size=3698, try=0
[I 171127 16:37:22 DataFether:171] 300108,20170921,42 history data download ok.
[I 171127 16:37:22 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000831&start=20170921&end=20171127&stat=1&order=D&period=d,size=3950, try=0
[I 171127 16:37:22 DataFether:171] 000831,20170921,42 history data download ok.
